O*NET-SOC Code,Title,ANALYTICAL,Fluency of Ideas,Originality,Problem Sensitivity,Deductive Reasoning,Inductive Reasoning,Information Ordering,Category Flexibility,Innovation,Analytical Thinking,Critical Thinking,Active Learning,Learning Strategies,Complex Problem Solving,Operations Analysis,"Judging the Qualities of Things, Services, or People",Analyzing Data or Information,Making Decisions and Solving Problems,Thinking Creatively,Updating and Using Relevant Knowledge,Developing Objectives and Strategies
49-3011.00,Aircraft Mechanics and Service Technicians,NA,3,2.88,4,3.88,3.88,4,3.62,3.48,3.78,4,3.12,2.88,3.88,2.12,4.43,4.2,4.77,4.21,5.45,3.51
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",NA,2.88,2.5,3.38,3.25,3,3.62,3,3.36,3.26,3.12,3,2.88,2.88,1.38,3.47,3.59,4.01,4.3,4.69,3.16
53-2022.00,Airfield Operations Specialists,NA,3.25,3.12,4.12,4,3.75,3.5,3,3.23,3.84,3.75,3.12,3,3.38,2.62,3.25,3.31,4.61,3.62,4.82,2.89
53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",NA,3.12,3.12,4.88,4.25,4.12,4,3.38,2.81,4.22,4.12,4,3.25,3.88,2.38,4.6,5.21,5.94,3.3,5.08,2.48
29-1069.01,Allergists and Immunologists,NA,3.75,3.5,5.12,4.62,4.88,3.75,3.88,3.33,4.58,4.25,4.62,3.62,4.38,0.75,4.55,5.15,6.25,4.68,6.31,4.95
53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0,2.75,2.38,3.75,3.62,3.12,3,3,3.29,3.34,3,3,2.12,2.75,1.25,3.79,3.25,3.67,3.36,4.46,2.58
39-3091.00,Amusement and Recreation Attendants,0,1.75,1.75,3.12,2.5,2.38,2.12,2,2.57,2.4,2.62,1.75,1.88,1.88,0.12,3.11,0.44,3.23,1.57,3.19,1.04
29-1071.01,Anesthesiologist Assistants,NA,2.88,2.62,4.12,3.88,3.88,3.75,3.12,3.33,4.06,3.75,3.62,3.25,3.38,1.12,4.44,4.73,5.35,4.27,5.34,3.38
29-1061.00,Anesthesiologists,NA,3.25,3,5.5,4.75,4.75,4.12,3.25,3.34,4.29,4.38,4.12,3.38,4,2.75,4.57,5.6,6.37,4.34,5.86,3.83
45-2021.00,Animal Breeders,NA,1.75,1.88,3,3.12,3,3,3,3.14,3.12,3.25,2.75,2,2.88,1.25,3.32,1.12,3.46,2.11,2.78,2.53
33-9011.00,Animal Control Workers,0,2.88,2.62,3.88,3.38,3.88,2.88,3,4.08,3.93,3.5,2.88,2.62,2.75,1.38,3.76,3.14,4.51,3.3,4.61,3.08
19-1011.00,Animal Scientists,NA,3.75,3.5,4.12,4.38,4.88,4,4,4.22,4.54,4.25,4.38,3.25,4.12,3,4.78,6,5.52,5.48,6.04,4.73
39-2011.00,Animal Trainers,0,3.12,3.25,4,3.5,3.25,3,2.88,3.79,3.77,3.38,3.12,3.88,2.75,1,4.04,2.5,4.99,4.79,3.99,3.61
19-3091.01,Anthropologists,NA,4,3.75,3.88,4.88,4.88,3.88,4.25,3.89,4.64,4.5,4.38,4,4,3.12,4.54,6.07,5.11,5.5,5.61,4.54
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",NA,3.62,3.75,3.88,4,4,3.62,3.88,3.96,4.74,4,4.12,3.88,3.88,2.62,5.44,4.15,4.43,5.04,5.63,3.7
13-2021.02,"Appraisers, Real Estate",NA,2.88,2.62,3.25,4.12,3.88,3.38,3.38,2.8,4.35,3.88,3.38,1.75,3,0.62,4.25,5.15,4.55,2.65,4.4,2.65
11-9013.03,Aquacultural Managers,NA,3.25,3.25,4,3.88,3.88,3.5,3.5,3.95,3.9,3.62,3.5,3,3.25,2.75,3.2,3.95,4.63,4.11,4.53,3.63
23-1022.00,"Arbitrators, Mediators, and Conciliators",NA,3.62,3.5,4,4.25,4.12,3.38,3,4.07,4.32,4.62,3.75,2.75,3.5,1.62,4.15,4.54,4.68,4.64,4.5,3.43
19-3091.02,Archeologists,NA,4,4,4,4.38,4.62,4.12,4,3.55,4.58,4.12,4,3.75,3.88,2.38,4.73,5.73,5.24,5.24,5.45,4.3
17-1011.00,"Architects, Except Landscape and Naval",NA,4.5,4.38,4.62,5.12,4.12,4.25,4.38,4.04,4.44,4.62,4.25,3.38,4.12,4.25,4.37,4.26,5.48,5.88,5.44,4.59
11-9041.00,Architectural and Engineering Managers,NA,4,4.12,4.38,4.38,4.38,4,3.88,3.67,4.39,4.25,4.25,3.38,4.12,1.88,4.01,4.82,5.25,5.25,5.27,3.9
17-3011.01,Architectural Drafters,NA,3.5,3.5,3.88,3.88,3.62,4,3.88,4.09,3.98,3.88,3.5,3.12,3.5,2.75,3.25,3.61,4.06,4.14,5.08,3.12
25-1031.00,"Architecture Teachers, Postsecondary",NA,3.75,4.12,3.75,4.25,4,3.75,3.88,4.4,4.68,4.5,4.38,4.38,4.25,3,4.85,4.17,4.92,5.95,5.28,5.24
25-4011.00,Archivists,NA,3.25,3,3.12,3.5,3.25,3.75,4,3.38,4.28,3.75,3.12,3.12,3.25,1.88,4.47,3.81,4.55,3.77,5.48,4.31
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",NA,3.38,3.75,3.12,4,4,3.25,3.25,3.81,4.69,4.25,4,4.12,3.75,2.62,4.3,5.12,4.31,5.25,5.27,3.59
27-1011.00,Art Directors,NA,4,4.38,3.62,4,3.75,3.88,4,4.44,3.8,4,3.75,3.25,3.62,3.25,4.73,4.09,4.85,5.75,4.42,4.06
29-1125.01,Art Therapists,NA,3.88,3.75,4.12,4,3.88,3.62,3.38,3.86,3.52,4.12,3.88,3.62,3.5,1.62,3.62,3.1,4.33,5.65,4.67,3.9
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",NA,4,4,3.12,3.75,3.75,3.62,3.75,4.42,4.17,4,4,4,3.38,2.62,3.87,2.64,3.83,5.41,4.59,3.36
13-2021.01,Assessors,1,3.12,3,3.12,4,3.62,3.75,3.75,3.08,3.97,4,3.38,2.38,3.12,1.12,5.26,4.81,4.34,3.46,5.26,3.23
19-2011.00,Astronomers,NA,4.12,4,4,4.5,4.62,4,4.38,4.48,4.85,4.25,4.88,3.75,3.62,3.25,3.94,6.73,6,6.52,6.27,5.15
27-2021.00,Athletes and Sports Competitors,NA,3,3,3,3,3.12,3,2.5,3.09,3.27,3.12,3,3,2.88,2,3.91,4.83,4.8,4.29,4.37,4.83
29-9091.00,Athletic Trainers,NA,3.25,3.25,4.5,4,4.38,3.75,3.38,3.75,4.23,4,4,3.88,3.38,2.38,4.16,3.59,5.2,4.35,5.14,3.51
19-2021.00,Atmospheric and Space Scientists,NA,3.25,3.12,4,4.25,4.12,3.88,4,3.46,4.36,4,4.25,3.25,3.88,3.25,3.32,5.29,4.93,4.79,5.75,3.5
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",NA,3.62,3.75,3.75,4,4,3.75,3.75,4.46,4.74,4.12,4,4.25,3.88,3.12,4.21,5.92,5.9,6.44,6.14,5.32
27-4011.00,Audio and Video Equipment Technicians,0,2.88,2.88,3.75,3.38,3.62,3.88,3.12,3.85,3.92,3.75,3,3,3,1.62,3.71,3.62,3.86,5.11,5.31,2.55
29-1181.00,Audiologists,NA,3.25,3.25,5,4.38,4.75,3.75,3.38,2.87,3.83,4.25,4.38,3.62,3.75,2.5,3.37,3.27,4.66,3,5.77,3.07
25-9011.00,Audio-Visual and Multimedia Collections Specialists,NA,3.62,3.25,3.5,3.62,3.25,3.5,3.12,3.94,3.92,3.88,3.5,3.25,3,1.25,3.38,3.22,4.19,4.34,5.17,3.01
13-2011.02,Auditors,NA,3.62,3.38,4.12,4.62,4.38,4,3.75,3.14,4.67,4,3.75,3,4,2.62,3.9,5.48,5.62,4.38,5.86,3.95
53-6031.00,Automotive and Watercraft Service Attendants,0,1.88,1.88,2.5,2.5,2.38,2.75,2.38,3.22,4.21,2.88,2,2,2.25,0.25,3.22,2.86,3.04,3.14,4.63,2.53
49-3021.00,Automotive Body and Related Repairers,0,2.62,2.38,2.88,3,2.75,3.12,3,3.1,3.21,3,2.38,2.38,2.62,1.5,2.83,2.2,2.63,2.55,3.94,1.86
17-3027.01,Automotive Engineering Technicians,NA,3.5,3.25,3.75,3.75,3.5,3.5,3.5,3.89,4.11,3.38,3.12,2.62,3.25,2.25,3.3,3.81,4.19,3.93,5.15,2.74
17-2141.02,Automotive Engineers,NA,4.12,4.5,4.25,5,4.75,4.5,4.25,3.87,4.61,4.5,4.62,3.25,4.38,4.25,4.45,5.83,5.43,5.43,5.61,4.48
49-3022.00,Automotive Glass Installers and Repairers,0,1.88,2,2.75,2.88,2.75,2.88,2.25,3.34,2.99,2.75,2.38,2.12,2.5,1.12,2.93,1.49,3.17,3.78,3.68,1.03
49-3023.01,Automotive Master Mechanics,NA,2.88,3,3.75,3.62,3.62,3.62,3,3.27,3.84,3.25,3,2.75,3.12,1.75,3.91,4.19,4.59,3.89,5.52,2.66
49-3023.02,Automotive Specialty Technicians,NA,2.62,2.12,3.12,3.5,3.38,3.5,3,3.17,3.61,3.25,3,2.12,3,1.25,3.3,3.63,3.82,2.57,4.4,2.52
53-6051.01,Aviation Inspectors,1,3,3,4.12,3.75,4,3.38,3.25,3.64,4.38,4,3.25,3,3.38,2.62,5.79,4.96,5.55,4.28,5.71,3
49-2091.00,Avionics Technicians,NA,3,2.75,3.88,3.88,3.75,3.88,3,3.67,4.22,3.75,3.12,2.62,3.5,2.12,3.96,4.29,4.57,3.85,5.55,2.95
39-6011.00,Baggage Porters and Bellhops,0,2.12,2,2.75,2.25,2.12,2.5,2.25,2.85,2.87,2.75,2.12,2,2.12,0.25,3.58,2.62,3.84,2.93,3.54,2.54
33-3011.00,Bailiffs,NA,1,0.88,3.5,3.12,2.88,2.88,2,2.9,3.54,3,2.12,1.75,2.25,0.12,3.58,2.55,3.8,2.42,3.22,1.83
51-3011.00,Bakers,0,2.75,2.62,2.75,2.88,2.75,3,3,3.18,3.13,3,3,2,2,1.88,2.66,1.4,2.84,2.4,2.64,1.75
39-5011.00,Barbers,0,2.25,2.62,2.88,2.88,2.88,2.38,2.12,3.49,3.29,2.75,2.5,1.62,2.12,1.25,3.26,2.35,3.91,4.45,3.91,2.63
35-3022.01,Baristas,0,2.38,2.12,2.75,2.62,2.5,2.75,2.75,2.54,2.65,2.75,2.62,2,2.25,0.25,2.54,2.02,2.64,2.51,2.29,1.91
35-3011.00,Bartenders,0,2.88,2.75,3.25,3,3,3,2.88,3.58,3.41,2.88,3,2.88,2.62,0,2.34,2.04,2.6,3,3.03,2.08
49-3091.00,Bicycle Repairers,0,2.75,2.5,3,2.88,2.88,3.12,3,4.09,4.59,3.12,2.5,2.38,3,0.75,3.15,2.31,2.95,2.85,4.22,2.12
43-3011.00,Bill and Account Collectors,0,2.75,2.62,3,2.88,3.12,2.88,3,3.5,4.22,3.5,2.75,2.12,2.88,0.25,1.78,2.02,3.37,2.12,2.98,2.07
43-3021.02,"Billing, Cost, and Rate Clerks",NA,2.12,2.12,3,3,3,3.12,3,3.19,3.53,3.12,2.88,2,2.88,0.12,2.18,3.24,3.66,1.37,3.94,1.25
17-2199.01,Biochemical Engineers,NA,3.88,4,4.62,4.38,4.88,4,4,4,4.44,4.12,4.12,3.25,4,3.62,4.8,5.76,5.36,5.56,5.68,4.8
19-1021.00,Biochemists and Biophysicists,NA,4.62,4.62,4.88,5.12,5.12,4.38,5.25,4.32,4.64,4.75,5.25,4.25,4,3.62,4.5,6.32,5.82,6.18,6.18,4.77
51-8099.01,Biofuels Processing Technicians,NA,2.88,2.75,3.38,3.12,3.12,3.38,3.5,3.12,3.65,3.12,2.75,2.75,3,0.25,3.64,4.11,4.35,2.88,4.3,2.5
11-3051.03,Biofuels Production Managers,NA,3.25,3.5,3.75,3.88,3.88,3.75,3.38,4.06,4.29,3.88,3.62,3.5,3.75,2,4.46,4.3,5,4.76,4.76,3.26
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,NA,3.88,4.12,4,4.38,4.12,3.88,3.75,3.7,4.42,4.12,3.75,3.25,3.88,2.25,4.62,5.74,5.28,5.53,5.56,4.57
19-1029.01,Bioinformatics Scientists,1,4.12,4.25,4.62,4.75,4.62,4.25,4.12,4.23,4.85,4.38,4.25,3.62,4.25,2.12,4.49,5.66,5.52,6.38,6.19,4.34
43-9111.01,Bioinformatics Technicians,1,3.5,3.25,3.88,3.75,3.88,3.62,3.88,3.72,4.16,3.75,3.88,2.88,3.38,2.12,4.63,6.28,5.62,5.77,6.1,3.13
25-1042.00,"Biological Science Teachers, Postsecondary",NA,3.62,3.75,3.5,4,4.12,3.88,3.88,4.19,4.6,4.12,4.25,4.12,3.75,2.75,4.46,4.78,4.76,5.34,5.7,4.14
19-4021.00,Biological Technicians,NA,3.25,3.12,4,4,4.12,3.88,3.88,3.63,4.13,4,3.88,2.75,3.5,1.62,1.79,4.82,4.54,4.04,5.2,3.13
19-1020.01,Biologists,NA,3.88,3.88,4.25,4.88,5,4.12,4.75,3.28,4.39,4.5,4.62,3.62,4.25,1.5,4.34,5.65,5.26,5.29,5.97,4.97
51-8099.03,Biomass Plant Technicians,NA,2.38,2.38,3.12,3.12,3.12,3.12,2.75,3.61,3.78,3.25,3,2.75,3,1.12,3.51,3.66,4.39,3.71,4.23,2.9
11-3051.04,Biomass Power Plant Managers,NA,3.38,3.5,4.62,4,3.62,3.75,3.5,4.08,4.22,4,3.38,3.38,3.75,2,3.95,3.86,4.55,3.95,4.44,4.01
17-2031.00,Biomedical Engineers,NA,4.12,4.75,4.75,4.75,4.75,4,4.5,4.13,4.37,4.75,4.75,4.12,4.62,4.38,4.43,5.73,5.83,6.13,6.03,4.73
15-2041.01,Biostatisticians,1,3.88,3.88,4.38,4.88,4.88,4.25,4.25,3.8,4.8,4.88,4.62,3.88,4.38,3.12,4.16,6.6,5.24,5.68,6.16,3.68
47-2011.00,Boilermakers,NA,2.75,2.38,3.38,3.25,3.25,3,3,3.53,3.39,3.12,3,2.75,3.12,2.5,4.06,3.12,4.33,3.53,4.6,4.27
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",NA,2,1.75,3,3.12,3.25,3.12,3,3.37,3.53,3.25,3.12,1.88,2.88,0.38,2.29,3.41,3.9,2.76,4.08,2.75
47-2021.00,Brickmasons and Blockmasons,0,2.12,2.12,3,2.75,2.75,3.12,3,3.57,3.61,3,2.12,2.12,2.25,1.62,3.77,3.32,4.5,4.06,4.3,3.3
53-6011.00,Bridge and Lock Tenders,0,2.13,2,2.88,2.75,2.5,2.75,2.63,2.55,2.86,2.88,2.25,2.25,2.5,0.88,2.32,1.48,2.71,1.61,2,1.38
27-3021.00,Broadcast News Analysts,1,3.62,3.5,4,4,3.88,3.62,3.38,3.8,3.61,4,3.75,2.75,3,1.62,3.14,4.43,3.71,4.19,5.16,2.66
27-4012.00,Broadcast Technicians,NA,3,3,3.75,3.62,3.25,3.25,3.38,3.59,3.93,3.38,3.12,2.88,3.12,1.88,2.16,2.57,3.8,3.12,4.83,2.4
43-4011.00,Brokerage Clerks,0,2.38,2.38,3.12,3.75,3.12,3,3,3.37,4.39,3.62,3,2.75,2.88,0.75,2.28,3.22,3.25,1.97,3.7,1.95
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,NA,3.75,3.62,4.5,4.5,4.25,3.75,4,3.54,4.32,4.12,3.62,3,4.12,3.12,3.88,4.48,5.04,4.52,4.8,4.38
13-2031.00,Budget Analysts,1,3,2.88,3.88,3.88,3.88,3.75,3.75,3.02,4.59,3.88,3.38,2.75,3.5,3,2.7,5.49,4.42,3,4.94,3.32
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,0,2.62,2.5,3.25,3.25,3.25,3.12,3,3.67,3.99,3.25,3,2.5,3,1.12,3.52,2.9,3.97,3.06,4.72,2.63
53-3022.00,"Bus Drivers, School or Special Client",0,2,2,3,2.88,2.5,2.88,2.38,3.63,3.69,2.88,1.88,1.12,2.38,0.38,3.3,1.33,2.66,2.04,2.51,1.2
53-3021.00,"Bus Drivers, Transit and Intercity",0,1.62,1.75,3,2.25,2.25,2.62,2,2.94,3.44,2.75,2,1.75,1.62,0,2.53,2.47,4.17,2.58,3.65,2.23
13-1199.04,Business Continuity Planners,NA,4,3.88,4.62,4.5,4,3.88,3.75,3.36,4.09,4.5,3.75,3.62,4.75,2.75,3.86,4.64,4.64,4.32,4.68,4.45
15-1199.08,Business Intelligence Analysts,1,3.62,3.5,3.62,4.75,4.5,3.75,3.62,3.87,4.87,4.38,4,3.25,3.75,2.12,4.5,5.79,4.96,4.79,5.96,4.75
25-1011.00,"Business Teachers, Postsecondary",NA,3,3.5,3.25,4.5,4.12,3.5,3.38,4.33,4.61,4.5,4.25,4.5,3.62,2.75,4.84,5.99,4.77,5.64,5.32,4.16
51-3021.00,Butchers and Meat Cutters,0,2.25,2,2.88,2.88,2.88,3,3,2.82,2.97,3,2.12,2,2.5,1,3.44,2.46,3.65,2.84,3.01,2.19
13-1021.00,"Buyers and Purchasing Agents, Farm Products",NA,3,3,3.12,3.38,3.38,3.12,3.25,3.08,4.27,3.75,3.12,3,3,1.75,3.73,4.21,4.65,4.6,4.77,3.95
51-7011.00,Cabinetmakers and Bench Carpenters,0,2.75,2.75,2.88,2.88,2.88,3.38,2.88,2.93,3.42,3,2.75,2.25,2.75,2.88,3.47,3.77,4.37,3.7,3.37,2.73
49-9061.00,Camera and Photographic Equipment Repairers,NA,2.38,2.62,3.38,3.25,3.25,3.38,3,3.5,3.73,3.38,3.12,2.25,3.12,1.75,3.14,2.51,3.32,4.15,4.16,2.15
27-4031.00,"Camera Operators, Television, Video, and Motion Picture",NA,3.38,3.12,3,3.5,3,3.25,3,4.06,3.78,3.5,3.25,2.62,3.12,2.25,3.16,2.14,3.23,4.76,4.33,1.83
29-2031.00,Cardiovascular Technologists and Technicians,NA,3,2.62,4.12,3.88,3.88,3.38,3.25,3.3,3.88,3.75,3.38,3,3.12,0.62,3.39,3.89,3.99,3.19,4.69,2.75
25-2023.00,"Career/Technical Education Teachers, Middle School",NA,3.38,3.38,4,3.88,3.5,3,3.25,4.08,3.9,3.88,3.5,4,3,2.62,3.45,3.44,4.2,4.72,4.75,3.57
25-2032.00,"Career/Technical Education Teachers, Secondary School",NA,3.38,3.62,4,4.12,3.88,3.62,3.88,3.83,3.85,3.88,3.75,4,3.38,0.62,3.47,4.03,5.2,5.33,5.54,4.25
43-5011.00,Cargo and Freight Agents,NA,2.38,2.38,3.25,3.12,3.12,3.25,3,3.05,3.42,3.62,2.88,2.12,3,1.25,3.45,3.97,4.77,3.48,4.49,2.97
47-2041.00,Carpet Installers,NA,2.38,2.12,2.88,2.75,2.75,3,2.75,3.46,3.81,2.88,2.12,2.62,2.75,1.5,3.3,2.09,3.73,3.07,4.36,2.14
17-1021.00,Cartographers and Photogrammetrists,0,3,3,3.38,3.88,4,3.5,3.62,3.85,3.59,3.75,3.38,3,3.12,0.75,3.38,4.19,4.17,4.51,5.35,3.36
41-2011.00,Cashiers,0,2.12,2.12,2.75,2.75,2.88,2.88,2.88,3.47,3.48,2.62,2.25,2.12,2.12,0.25,2.69,1.68,2.56,2.23,3.23,1.38
47-2051.00,Cement Masons and Concrete Finishers,0,2.12,2,2.75,2.62,2.38,2.88,2.5,2.79,3.21,2.38,1.75,2,2.62,0.38,4.09,3.14,4.54,3.71,3.83,3.34
35-1011.00,Chefs and Head Cooks,NA,3.12,3.38,3.75,3.75,3.38,3.25,3.12,3.81,3.48,3.88,3.5,3.38,3,2.25,3.35,2.56,3.81,4.52,4.04,3.19
17-2041.00,Chemical Engineers,NA,3.88,4.12,4.62,4.88,4.62,4.62,4.88,4.19,4.86,4.88,4.5,3.62,4.38,4.5,4.32,5.82,5.23,5.86,5.73,3.82
51-9011.00,Chemical Equipment Operators and Tenders,NA,2.5,2.25,3.88,3.12,3.12,3.5,3.75,3.23,3.76,3.12,2.88,2.5,2.88,1.75,3.44,3.61,4.38,2.84,4.04,2.72
51-8091.00,Chemical Plant and System Operators,NA,2.12,2.12,3.75,3.75,3.62,3.62,3,2.7,3.7,3.75,3,2.88,3.12,2,2.1,3.02,3.19,1.17,3.92,0.69
19-4031.00,Chemical Technicians,NA,3,3,3.88,3.75,3.75,3.88,3.75,2.66,3.07,4,3.12,3,3.12,2.75,4.31,3.93,4.88,4.1,4.61,3.6
25-1052.00,"Chemistry Teachers, Postsecondary",NA,3.5,3.62,3.75,4.5,4.5,3.75,4,4.26,4.81,4.38,4.38,4.25,4,3,3.71,5.21,5.15,5.75,5.69,4.55
19-2031.00,Chemists,NA,3.88,3.5,4,4.5,4.5,4.12,4.25,3.54,4.4,4.12,4.12,3.12,4,2.88,4.13,4.69,4.53,4.48,5.2,3.06
11-1011.00,Chief Executives,1,4.62,4.25,5,5,5,4,4.12,4.27,4.45,4.75,4.75,3.88,5,4.25,5.39,5.38,6.18,4.88,4.92,5.68
11-1011.03,Chief Sustainability Officers,1,4.12,4,4.25,4.5,4.25,3.62,3.62,4.38,4.31,4.12,3.75,3.5,4.25,3.38,4.27,4.54,5.4,5.35,5.54,5.12
21-1021.00,"Child, Family, and School Social Workers",NA,3.38,3.38,4.38,3.88,3.88,3.38,3.25,3.29,3.53,4.25,3.75,3.12,3.5,3,3.2,3,4.44,4.48,4.27,3.68
39-9011.00,Childcare Workers,NA,3,2.88,3.38,3,3,3,2.88,3.74,3.61,3,3,3.12,2.88,0.12,2.78,1.76,3.05,3.6,3.27,2.72
29-1011.00,Chiropractors,NA,3.12,3.12,4.75,4.38,4.38,3.88,3.88,3.76,4.2,4.12,3.88,3.12,3.62,2.25,4.15,4.29,5.48,4.08,4.85,4.35
27-2032.00,Choreographers,NA,4,4.25,3.62,3.5,3.25,3.38,3.12,4.71,4,3.5,3.25,3.38,3.12,2.88,4.89,2.29,5.38,6.38,4.71,4.43
19-4061.01,City and Regional Planning Aides,NA,3,3.38,3.5,3.38,3.25,3.12,3,3.25,4.15,3.5,3.12,2.38,3.12,2.25,3.35,4.35,4.7,4.25,4.8,4.42
17-3011.02,Civil Drafters,NA,2.88,3,3.12,3.12,3.12,3.75,3.62,3.43,3.9,3.38,2.88,2.88,3.12,3,2.48,3.24,4.33,4.19,5.38,2.95
17-3022.00,Civil Engineering Technicians,NA,3.12,2.88,3.88,4,3.75,3.88,3.5,3.74,4.08,3.62,3,2.62,3.25,3,3.1,3.9,4.21,3.89,4.68,2.4
17-2051.00,Civil Engineers,NA,4,4,4.88,4.75,4.12,4,4.25,3.65,4.13,4.5,4.5,3.75,4.12,4.62,4.39,4.55,5.55,5.41,5.27,4.45
